,Dice Roll,Face Pair,Number Pair,Probability
0,1.0,0.0,0.0,1.0
1,1.0,0.0,1.0,0.0
2,1.0,1.0,0.0,0.0
3,1.0,1.0,1.0,0.0
4,2.0,0.0,0.0,0.9411764705882354
5,2.0,0.0,1.0,0.045248868778280514
6,2.0,1.0,0.0,0.013574660633484162
7,2.0,1.0,1.0,0.0
8,3.0,0.0,0.0,0.8282352941176471
9,3.0,0.0,1.0,0.13212669683257916
10,3.0,1.0,0.0,0.039638009049773756
11,3.0,1.0,1.0,0.0
12,4.0,0.0,0.0,0.6761104441776711
13,4.0,0.0,1.0,0.25114045618247294
14,4.0,1.0,0.0,0.07274909963985593
15,4.0,1.0,1.0,0.003989288022901465
16,5.0,0.0,0.0,0.5070828331332533
17,5.0,0.0,1.0,0.37334933973589435
18,5.0,1.0,0.0,0.10433096315449257
19,5.0,1.0,1.0,0.018838304552590265
20,6.0,0.0,0.0,0.34524788638859805
21,6.0,0.0,1.0,0.47913502553230786
22,6.0,1.0,0.0,0.12548868974758481
23,6.0,1.0,1.0,0.051587247010097
